Compagnie,Année,Mois,Moyenne_Retard,Nombre_Vols_En_Retard,Nombre_Total_Vols
Volotea,2024,5,6.811565951916829,546,1539
Volotea,2024,6,8.778571428571428,510,1400
Volotea,2024,7,9.678805535324107,570,1373
Volotea,2024,8,7.383491599707816,547,1369
Volotea,2024,9,8.145103645461043,517,1399
Volotea,2024,10,8.770833333333334,525,1536
Volotea,2024,11,6.04177545691906,207,766
Volotea,2024,12,6.591836734693878,305,882
Vueling,2024,2,4.285714285714286,45,210
Vueling,2024,3,3.0858369098712446,51,233
Vueling,2024,4,2.119047619047619,51,294
Vueling,2024,5,2.347682119205298,60,302
Vueling,2024,6,4.161290322580645,66,279
Vueling,2024,7,2.6588628762541804,52,299
Vueling,2024,8,3.392739273927393,58,303
Vueling,2024,9,4.784386617100372,58,269
Vueling,2024,10,4.982456140350878,72,285
Vueling,2024,11,1.7123893805309736,35,226
Vueling,2024,12,3.072649572649573,65,234
Westjet,2024,2,5.98,39,100
Westjet,2024,3,5.311320754716981,37,106
Westjet,2024,4,7.423076923076923,32,104
Westjet,2024,5,9.339506172839506,63,162
Westjet,2024,6,12.306930693069306,91,202
Westjet,2024,7,13.087179487179487,80,195
Westjet,2024,8,10.375634517766498,95,197
Westjet,2024,9,7.328502415458937,82,207
Westjet,2024,10,6.225274725274725,62,182
Westjet,2024,11,3.8025477707006368,34,157
Westjet,2024,12,7.274193548387097,61,186
Wideroe,2024,6,0.0,0,3
Wind Rose Aviation Company,2024,6,19.166666666666668,5,6
Wind Rose Aviation Company,2024,7,49.3,5,10
Wind Rose Aviation Company,2024,8,0.0,0,4
Wind Rose Aviation Company,2024,10,31.25,3,4
Zeusch Aviation,2024,4,17.0,1,2
Zeusch Aviation,2024,7,0.0,0,2
Zeusch Aviation,2024,12,3.8333333333333335,1,6
Zimex Aviation,2024,3,9.0,1,2
Zimex Aviation,2024,8,2.0,3,7
Zimex Aviation,2024,9,0.0,0,1
